Number	Surname, Initials	Week	Job	hTotal	hNormal
911135	xaDrzbeq, P.A.	201550	1	35.420000	20.350000
911135	xaDrzbeq, P.A.	201551	1	40.010000	36.010000
911135	xaDrzbeq, P.A.	201553	1	37.430000	36.430000
651203	vVkfYuSL, A.R.	201549	1	53.050000	53.050000
651203	vVkfYuSL, A.R.	201550	1	44.140000	26.260000
651203	vVkfYuSL, A.R.	201551	1	45.610000	41.610000
574921	AfNHLyGn, W.J.	201549	1	40.120000	21.820000
574921	AfNHLyGn, W.J.	201550	1	41.020000	20.640000
574921	AfNHLyGn, W.J.	201551	1	38.310000	21.450000
574921	AfNHLyGn, W.J.	201552	1	20.070000	12.370000
134817	GRJFizCq, E.	201549	1	44.540000	44.540000
134817	GRJFizCq, E.	201550	1	34.460000	21.490000
134817	GRJFizCq, E.	201551	1	45.040000	41.040000
134817	GRJFizCq, E.	201552	1	24.440000	12.700000
134817	GRJFizCq, E.	201553	1	38.350000	37.350000
712097	yfgHdDqq, D.R.	201549	1	44.460000	44.460000
712097	yfgHdDqq, D.R.	201550	1	34.020000	21.490000
712097	yfgHdDqq, D.R.	201551	1	41.010000	37.010000
712097	yfgHdDqq, D.R.	201552	1	24.000000	12.710000
712097	yfgHdDqq, D.R.	201553	1	37.910000	36.910000
084656	qhczMqpL, K.M.	201549	2	47.870000	47.870000
084656	qhczMqpL, K.M.	201550	2	40.920000	40.920000
084656	qhczMqpL, K.M.	201551	2	44.000000	44.000000
084656	qhczMqpL, K.M.	201552	2	21.160000	21.160000
084656	qhczMqpL, K.M.	201553	2	22.170000	22.170000
249679	ZpcrVujv, M.	201549	1	43.440000	43.440000
249679	ZpcrVujv, M.	201550	1	41.240000	41.240000
249679	ZpcrVujv, M.	201551	1	41.330000	41.330000
249679	ZpcrVujv, M.	201552	1	23.820000	23.820000
249679	ZpcrVujv, M.	201553	1	22.610000	22.610000
594554	ohmJIpjS, R.A.	201549	1	52.920000	48.840000
594554	ohmJIpjS, R.A.	201550	1	51.940000	47.860000
594554	ohmJIpjS, R.A.	201551	1	51.940000	47.890000
594554	ohmJIpjS, R.A.	201552	1	18.420000	15.420000
594554	ohmJIpjS, R.A.	201553	1	23.430000	21.430000
064801	Nztbpbtk, W.K.	201549	1	52.500000	52.500000
064801	Nztbpbtk, W.K.	201550	1	43.410000	37.370000
064801	Nztbpbtk, W.K.	201551	1	51.570000	47.570000
064801	Nztbpbtk, W.K.	201552	1	17.230000	16.060000
064801	Nztbpbtk, W.K.	201553	1	35.310000	34.310000
664282	KztUawxy, M.	201549	1	7.820000	4.470000
664282	KztUawxy, M.	201550	1	43.670000	41.670000
664282	KztUawxy, M.	201551	1	31.940000	21.620000
664282	KztUawxy, M.	201552	1	36.870000	30.270000
664282	KztUawxy, M.	201553	1	26.900000	20.400000
820257	qObTWhxa, R.	201549	1	7.770000	4.420000
820257	qObTWhxa, R.	201550	1	45.650000	43.650000
820257	qObTWhxa, R.	201551	1	33.280000	21.680000
820257	qObTWhxa, R.	201552	1	35.730000	29.050000
820257	qObTWhxa, R.	201553	1	26.000000	20.220000
053915	ZCdbVBdQ, J.M.	201549	1	44.800000	44.800000
053915	ZCdbVBdQ, J.M.	201550	1	32.290000	32.290000
053915	ZCdbVBdQ, J.M.	201551	1	45.900000	45.900000
053915	ZCdbVBdQ, J.M.	201552	1	27.960000	27.960000
053915	ZCdbVBdQ, J.M.	201553	1	24.270000	24.270000
573731	uAMLbzkl, G.P.	201549	1	47.260000	22.570000
573731	uAMLbzkl, G.P.	201550	1	54.050000	22.500000
573731	uAMLbzkl, G.P.	201551	1	49.050000	23.090000
573731	uAMLbzkl, G.P.	201552	1	26.680000	13.490000
573731	uAMLbzkl, G.P.	201553	1	24.680000	13.500000
865432	ScNuGIDZ, P.K.	201549	1	42.920000	42.920000
865432	ScNuGIDZ, P.K.	201550	1	34.920000	21.400000
865432	ScNuGIDZ, P.K.	201551	1	44.510000	40.510000
865432	ScNuGIDZ, P.K.	201552	1	25.240000	12.250000
865432	ScNuGIDZ, P.K.	201553	1	25.050000	25.050000
192193	HAQCcqWT, I.K.	201549	1	35.530000	22.380000
192193	HAQCcqWT, I.K.	201550	1	42.630000	40.630000
192193	HAQCcqWT, I.K.	201551	1	32.320000	21.670000
192193	HAQCcqWT, I.K.	201552	1	36.050000	29.430000
192193	HAQCcqWT, I.K.	201553	1	26.090000	20.270000
